artist,국적,활동유형,활동장르,데뷔(곡),멤버
제이세라,대한민국,"여성, 솔로","발라드, 국내드라마, 댄스",2010.07.15,
비룡,대한민국,"남성, 솔로",댄스,2020.08.01,
Paul Blanco,대한민국,"남성, 솔로","랩/힙합, R&B/Soul, 국내드라마",2018.10.27,
DEAN,대한민국,"남성, 솔로","R&B/Soul, 댄스, 랩/힙합",2015.07.30,
이홍기 (FT아일랜드),대한민국,"남성, 솔로","발라드, 국내드라마, 록/메탈",2009.1,
토요태,대한민국,"혼성, 그룹",R&B/Soul,2021.12.18,"유재석 , 하하 , 미주 (MIJOO)"
샘김 (Sam Kim),미국,"남성, 솔로","발라드, 국내드라마, R&B/Soul",2016.04.10,
츄 (CHUU),대한민국,"여성, 솔로","댄스, 발라드, 국내드라마",2023.10.18,
웬디 (WENDY),대한민국,"여성, 솔로","발라드, 국내드라마, R&B/Soul",2021.04.05,
펀치 (Punch),대한민국,"여성, 솔로","발라드, 국내드라마, R&B/Soul",2017.09.29,
박재범,미국,"남성, 솔로","랩/힙합, R&B/Soul, 댄스",2011.04.27,
김세정,대한민국,"여성, 솔로","발라드, 국내드라마, 록/메탈",2016.11.23,
송이한,대한민국,"남성, 솔로","R&B/Soul, 발라드, 국내드라마",2018.06.03,
TOIL,대한민국,"남성, 솔로","랩/힙합, 록/메탈, R&B/Soul",2020.10.26,
스윙스,대한민국,"남성, 솔로","랩/힙합, 국내드라마, 발라드",2008.05.14,
이루,대한민국,"남성, 솔로","발라드, 국내드라마, 댄스",2005.09.05,
숀 (SHAUN),대한민국,"남성, 솔로","일렉트로니카, 인디음악, 록/메탈",2015.09.17,
경서,대한민국,"여성, 솔로","발라드, 국내드라마, 록/메탈",2020.11.14,
GRAY (그레이),대한민국,"남성, 솔로","국내영화, 랩/힙합, R&B/Soul",2012.05.16,
백예린 (Yerin Baek),대한민국,"여성, 솔로","R&B/Soul, 발라드, 국내드라마",2015.11.30,
정효빈,대한민국,"여성, 솔로","발라드, 국내드라마, 인디음악",2019.04.16,
아넌딜라이트(Anandelight),대한민국,"남성, 솔로","랩/힙합, 인디음악, R&B/Soul",2019.01.30,
선우정아,대한민국,"여성, 솔로","발라드, R&B/Soul, 국내드라마",2006.05.10,
로시 (Rothy),대한민국,"여성, 솔로","국내드라마, 발라드, R&B/Soul",2017.11.09,
NCT U,대한민국,"남성, 그룹","댄스, R&B/Soul, 랩/힙합",2016.04.09,"재현 (JAEHYUN) , 텐 (TEN) , 태용 (TAEYONG) , 도영 (DOYOUNG) , 정우 (JUNGWOO) , 윈윈 (WINWIN) , 해찬 (HAECHAN) , 유타 (YUTA) , 천러 (CHENLE) , 재민 (JAEMIN) , 제노 (JENO) , 지성 (JISUNG) , 런쥔 (RENJUN) , 쟈니 (JOHNNY) , 쿤 (KUN) , 샤오쥔 (XIAOJUN) , 헨드리 (HENDERY) , 양양 (YANGYANG)"
래원 (Layone),대한민국,"남성, 솔로","랩/힙합, 국내드라마, 발라드",2019.09.06,
백아연,대한민국,"여성, 솔로","발라드, 국내드라마, 댄스",2012.09.10,
릴러말즈 (Leellamarz),대한민국,"남성, 솔로","랩/힙합, R&B/Soul, 클래식",2017.07.07,
WSG워너비 (오아시소),대한민국,"여성, 그룹",댄스,2022.07.09,"윤은혜 , 코타(KOTA) , 박진주 , 조현아 (어반자카파)"
그루비룸 (GroovyRoom),대한민국,"남성, 그룹","랩/힙합, 일렉트로니카, R&B/Soul",2016.12.14,"Lil Moshpit , IÖN"
Woodie Gochild,대한민국,"남성, 솔로","랩/힙합, 애니메이션/웹툰, R&B/Soul",2017.12.15,
선미,대한민국,"여성, 솔로","댄스, 발라드, 록/메탈",2013.08.26,
유연석,대한민국,"남성, 솔로","발라드, 국내드라마, 국내뮤지컬",2013.12.13,
이승기,대한민국,"남성, 솔로","발라드, 록/메탈, 댄스",2004.06.25,
유산슬,대한민국,"남성, 솔로",성인가요/트로트,2019.11.16,
김필,대한민국,"남성, 솔로","발라드, 록/메탈, 국내드라마",2011.08.30,
sokodomo,대한민국,"남성, 솔로","랩/힙합, 일렉트로니카, R&B/Soul",2019.08.21,
임한별,대한민국,"남성, 솔로","발라드, 국내드라마, R&B/Soul",2008.04,
경서 (경서예지),대한민국,"여성, 솔로",발라드,2023.06.25,
SF9,대한민국,"남성, 그룹","댄스, 발라드, R&B/Soul",2016.10.05,"영빈 , 인성 , 재윤 (SF9) , 다원 , 주호 , 유태양 , 휘영 , 찬희 (SF9)"
다이나믹 듀오,대한민국,"남성, 그룹","랩/힙합, 댄스, 발라드",2004.05.17,"개코 , 최자"
이승철,대한민국,"남성, 솔로","발라드, 댄스, 록/메탈",1988.12.01,
현아,대한민국,"여성, 솔로","댄스, 발라드, 랩/힙합",2010.01.04,
이선희,대한민국,"여성, 솔로","발라드, POP, 키즈",1984.08.25,
WSG워너비,대한민국,"여성, 그룹",발라드,2022.05.28,"이보람 (씨야) , 정소연 (Jung Soyeon) , HYNN (박혜원) , 정지소"
문별 (마마무),대한민국,"여성, 솔로","댄스, R&B/Soul, 발라드",2018.05.23,
육성재,대한민국,"남성, 솔로","발라드, 국내드라마, 록/메탈",2020.03.02,
박경,대한민국,"남성, 솔로","랩/힙합, 국내드라마, R&B/Soul",2015.09.21,
한요한,대한민국,"남성, 솔로","랩/힙합, 록/메탈, 발라드",2015.05.21,
피아노맨,대한민국,"남성, 솔로","발라드, 인디음악, R&B/Soul",2016.02.22,
전상근,대한민국,"남성, 솔로","발라드, 국내드라마, 록/메탈",2016.06.03,
산들,대한민국,"남성, 솔로","발라드, 국내드라마, 록/메탈",2011.04.23,
도영 (DOYOUNG),대한민국,"남성, 솔로","발라드, 국내드라마, 록/메탈",2024.04.22,
Don Mills,대한민국,"남성, 솔로","랩/힙합, 댄스, 국내드라마",2013.05.01,
조장혁,대한민국,"남성, 솔로","발라드, 록/메탈, 댄스",1996.01,
반하나,대한민국,"여성, 솔로","발라드, 국내드라마, R&B/Soul",2014,
가호 (Gaho),대한민국,"남성, 솔로","R&B/Soul, 국내드라마, 발라드",2018.05.03,
박진영,대한민국,"남성, 솔로","댄스, 발라드, R&B/Soul",1994.09.01,
비,대한민국,"남성, 솔로","댄스, 발라드, R&B/Soul",2002.05.13,
브레이브걸스,대한민국,"여성, 그룹","댄스, 발라드, 랩/힙합",2011.04.08,"민영 (BBGIRLS) , 유정 (BBGIRLS) , 은지 (BBGIRLS) , 유나 (BBGIRLS)"
김나영,대한민국,"여성, 솔로","발라드, 국내드라마, 랩/힙합",2014.12.09,
장덕철,대한민국,"남성, 그룹","발라드, 국내드라마, 댄스",2015.01.13,"임철 , 덕인 , 장중혁"
KHAN,대한민국,"남성, 솔로","랩/힙합, 인디음악",2020.05.06,
저스디스 (JUSTHIS),대한민국,"남성, 솔로","랩/힙합, 국내드라마, 발라드",2015.06.12,
머쉬베놈 (MUSHVENOM),대한민국,"남성, 솔로","랩/힙합, 인디음악",2019.09.05,
탑현,대한민국,"남성, 솔로","발라드, 인디음악, 록/메탈",2020.09.25,
솔라 (마마무),대한민국,"여성, 솔로","발라드, 국내드라마, 댄스",2020.04.23,
전미도,대한민국,"여성, 솔로","국내드라마, 발라드, 록/메탈",2006,
싸이 (PSY),대한민국,"남성, 솔로","랩/힙합, 댄스, 발라드",2001.01.18,
CHEEZE (치즈),대한민국,"여성, 솔로","발라드, 국내드라마, 인디음악",2011.12.16,달총 (CHEEZE)
Agust D,대한민국,"남성, 솔로","랩/힙합, POP, 댄스",2016,
제이레빗(J Rabbit),대한민국,"여성, 그룹","인디음악, 포크/블루스, 발라드",2010.11.27,"정다운 , J HYESUN"
코드 쿤스트 (CODE KUNST),대한민국,"남성, 솔로","랩/힙합, 인디음악, R&B/Soul",2013.05.16,
김호중,대한민국,"남성, 솔로","성인가요/트로트, 발라드, 클래식",2013.03.22,
Stray Kids (스트레이 키즈),대한민국,"남성, 그룹","랩/힙합, 댄스, 록/메탈",2018.03.25,"방찬 (Stray Kids) , 리노 (Stray Kids) , 창빈 (Stray Kids) , 현진 (Stray Kids) , 한 (Stray Kids) , 필릭스 (Stray Kids) , 승민 (Stray Kids) , 아이엔 (Stray Kids)"
pH-1,대한민국,"남성, 솔로","랩/힙합, 국내드라마, 댄스",2016.10.21,
첸 (CHEN),대한민국,"남성, 솔로","발라드, 국내드라마, 댄스",2019.04.01,
백지영,대한민국,"여성, 솔로","발라드, 댄스, 국내드라마",1999.06.01,
이수현,대한민국,"혼성, 그룹","댄스, 포크/블루스, 록/메탈",2014.04.07,"이찬혁 , 이수현"
B.I,대한민국,"남성, 솔로","랩/힙합, R&B/Soul, 댄스",2021.06.01,
수호 (SUHO),대한민국,"남성, 솔로","록/메탈, 발라드, 국내드라마",2020.03.30,
린다G,대한민국,"여성, 솔로",랩/힙합,2020,
쿠기 (Coogie),대한민국,"남성, 솔로","랩/힙합, 국내드라마, 인디음악",2018.03.17,
기리보이,대한민국,"남성, 솔로","랩/힙합, 발라드, 일렉트로니카",2011.11.18,
MSG워너비(정상동기),대한민국,"남성, 그룹",발라드,2021,"김정수 , 정기석 , 이동휘 , 이상이"
에픽하이 (EPIK HIGH),대한민국,"남성, 그룹","랩/힙합, 댄스, 국내드라마",2003.10.23,"TABLO , 미쓰라 진 , DJ 투컷"
소유 (SOYOU),대한민국,"여성, 솔로","발라드, 국내드라마, R&B/Soul",2017.12.13,
미란이 (MIRANI),대한민국,"여성, 솔로","랩/힙합, R&B/Soul, 국내드라마",2020.04.24,
YUNB,대한민국,"남성, 솔로","랩/힙합, R&B/Soul, 일렉트로니카",2016.09.19,
이채연,대한민국,"여성, 솔로","댄스, 국내드라마, 발라드",2022.10.12,
dori,대한민국,"남성, 솔로","R&B/Soul, 국내드라마, 발라드",2022.02.01,
