year,week,week_start,week_end,rank,title,artist,album,like_cnt
2021,2021.09.06 ~ 2021.09.12,2021.09.06,2021.09.12,55,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,멜로가 체질 OST Part 3,320118
2021,2021.09.06 ~ 2021.09.12,2021.09.06,2021.09.12,56,Dolphin,오마이걸 (OH MY GIRL),NONSTOP,206777
2021,2021.09.06 ~ 2021.09.12,2021.09.06,2021.09.12,57,오래된 노래,스탠딩 에그,오래된 노래,291350
2021,2021.09.06 ~ 2021.09.12,2021.09.06,2021.09.12,58,상상더하기,"MSG워너비 TOP 8 (별루지, 김정수, 강창모, 정기석, 이동휘, 이상이, 박재정, 원슈타인)",MSG워너비 TOP 8 경연곡,65602
2021,2021.09.06 ~ 2021.09.12,2021.09.06,2021.09.12,59,METEOR,창모 (CHANGMO),Boyhood,312715
2021,2021.09.06 ~ 2021.09.12,2021.09.06,2021.09.12,60,고백,10CM,두 번째 '고백',70336
2021,2021.09.06 ~ 2021.09.12,2021.09.06,2021.09.12,61,Life Goes On,방탄소년단,BE,245658
2021,2021.09.06 ~ 2021.09.12,2021.09.06,2021.09.12,62,"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)",양요섭,"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)",134401
2021,2021.09.06 ~ 2021.09.12,2021.09.06,2021.09.12,63,이젠 잊기로 해요 (Drama Ver.),미도와 파라솔,슬기로운 의사생활 시즌2 OST Special,42391
2021,2021.09.06 ~ 2021.09.12,2021.09.06,2021.09.12,64,너의 번호를 누르고 (Prod. 영화처럼),#안녕,너의 번호를 누르고,156309
2021,2021.09.06 ~ 2021.09.12,2021.09.06,2021.09.12,65,가까운 듯 먼 그대여,카더가든,가까운 듯 먼 그대여,148323
2021,2021.09.06 ~ 2021.09.12,2021.09.06,2021.09.12,66,나랑 같이 걸을래 (바른연애 길잡이 X 적재),적재,나랑 같이 걸을래 (바른연애 길잡이 X 적재),166872
2021,2021.09.06 ~ 2021.09.12,2021.09.06,2021.09.12,67,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB),Red Moon : To You My Light,294524
2021,2021.09.06 ~ 2021.09.12,2021.09.06,2021.09.12,68,라라라,SG 워너비,My Friend,100974
2021,2021.09.06 ~ 2021.09.12,2021.09.06,2021.09.12,69,사실 나는 (Feat.전건호),경서예지,사실 나는,106922
2021,2021.09.06 ~ 2021.09.12,2021.09.06,2021.09.12,70,VVS (Feat. JUSTHIS) (Prod. GroovyRoom),미란이 (MIRANI),쇼미더머니 9 Episode 1,222711
2021,2021.09.06 ~ 2021.09.12,2021.09.06,2021.09.12,71,어떻게 지내 (Prod. By VAN.C),오반(OVAN),어떻게 지내,227390
2021,2021.09.06 ~ 2021.09.12,2021.09.06,2021.09.12,72,슈퍼스타,미도와 파라솔,슬기로운 의사생활 시즌2 OST Part 6,54557
2021,2021.09.06 ~ 2021.09.12,2021.09.06,2021.09.12,73,허리춤,오반(OVAN),허리춤,57070
2021,2021.09.06 ~ 2021.09.12,2021.09.06,2021.09.12,74,고백,장범준,첫 번째 '고백',58538
2021,2021.09.06 ~ 2021.09.12,2021.09.06,2021.09.12,75,Coin,아이유,IU 5th Album 'LILAC',125201
2021,2021.09.06 ~ 2021.09.12,2021.09.06,2021.09.12,76,오늘은 가지마 (2021),환희,오늘은 가지마 (2021),10580
2021,2021.09.06 ~ 2021.09.12,2021.09.06,2021.09.12,77,회상,정경호,슬기로운 의사생활 시즌2 OST Part 9,26697
2021,2021.09.06 ~ 2021.09.12,2021.09.06,2021.09.12,78,On The Ground,로제 (ROSÉ),R,174761
2021,2021.09.06 ~ 2021.09.12,2021.09.06,2021.09.12,79,넌 좋은 사람,SG 워너비,넌 좋은 사람,35675
2021,2021.09.06 ~ 2021.09.12,2021.09.06,2021.09.12,80,사진을 보다가,다비치,사진을 보다가 (REVIBE Vol.2),14080
2021,2021.09.06 ~ 2021.09.12,2021.09.06,2021.09.12,81,별빛 같은 나의 사랑아,임영웅,별빛 같은 나의 사랑아,82382
2021,2021.09.06 ~ 2021.09.12,2021.09.06,2021.09.12,82,늦은 밤 너의 집 앞 골목길에서,노을,늦은 밤 너의 집 앞 골목길에서,227384
2021,2021.09.06 ~ 2021.09.12,2021.09.06,2021.09.12,83,그대라는 사치,임영웅,사랑의 콜센타 PART62,45503
